Number,Title,Vehicle_class,Manufacturer,Features,Acquisition,Price,Storage_location,Delivery_method,Modifications,Resale_flag,Resale_price,Race_availability,Top_speed_in_game,Based_on,Seats,weight_in_kg,drive_train,gears,release_date,release_dlc,top_speed_real,lap_time,bulletproof,weapon1_resistance,weapon2_resistance,weapon3_resistance,weapon4_resistance,weapon5_resistance,speed,acceleration,braking,handling,overall,vehicle_url
42, Karin Everon,Off-Road,Karin,"Has Liveries, Has Trade Price",Southern S.A. Super Autos,"$1,475,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$885,000	
	($1,062,950 when fully upgraded)",Can be used in Races,84.51 mph (136.00 km/h),Toyota Hilux AT37 (Arctic Trucks),4,"3,250	KG",NA,6,12-Dec-19,1.49 Diamond Casino Heist,106.50 mph (171.39 km/h),01:09.8,No,1,1,2,1,1,"Speed
72.97","Acceleration
73.75","Braking
10.00","Handling
62.12","Overall
54.71",https://www.gtabase.com//grand-theft-auto-v/vehicles/everon
43, Lampadati Viseris,Sports Classics,Lampadati,"No Passive Mode, Weaponized Vehicle",Legendary Motorsport,"$875,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$525,000	
	($747,100 when fully upgraded)",Can be used in Races,96.62 mph (155.50 km/h),"De Tomaso Pantera GT5, Maserati Merak, BMW M1",2,"1,400	KG",RWD,5,9-Jan-18,1.42 The Doomsday Heist,124.25 mph (199.96 km/h),01:06.8,No,1,1,2,1,1,"Speed
83.43","Acceleration
75.00","Braking
26.67","Handling
69.70","Overall
63.70",https://www.gtabase.com//grand-theft-auto-v/vehicles/lampadati-viseris
44, Lampadati Michelli GT,Sports Classics,Lampadati,Has Liveries,Southern S.A. Super Autos,"$1,225,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$735,000	
	($913,925 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),"Alfa Romeo Giulia Sprint GTV, Lancia Fulvia Coupé",2,"840	KG",RWD,5,5-Jun-18,1.43 Southern SA Super Sport Series,106.50 mph (171.39 km/h),01:12.7,No,1,1,2,1,1,"Speed
75.12","Acceleration
70.63","Braking
25.00","Handling
69.70","Overall
60.11",https://www.gtabase.com//grand-theft-auto-v/vehicles/michelli-gt
45, Western Nightblade,Motorcycles,Western,"Has Liveries, Mystery Prize",Southern S.A. Super Autos,"$100,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$60,000	
	($216,670 when fully upgraded)",Can be used in Races,88.23 mph (142.00 km/h),Harley Davidson Night Rod Special / Harley Davidson Dyna Street Bob,2,"205	KG",RWD,5,4-Oct-16,1.36 Bikers,114.25 mph (183.87 km/h),01:03.5,No,1,1,2,1,1,"Speed
76.19","Acceleration
77.50","Braking
40.00","Handling
59.09","Overall
63.20",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-nightblade
46, Vapid Caracara,Off-Road,Vapid,"Has Liveries, Has Variants, No Passive Mode, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$1,775,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,065,000	
	($1,309,225 when fully upgraded)",Target Assault Races,83.89 mph (135.00 km/h),"Ford F-150, Hennessey VelociRaptor 6X6, 2016–present Nissan Titan, Ram Pickup",5,"3,500	KG",NA,5,3-Apr-18,1.43 Southern SA Super Sport Series,100.75 mph (162.14 km/h),01:12.7,No,1,1,2,1,1,"Speed
72.43","Acceleration
75.00","Braking
9.00","Handling
68.18","Overall
56.15",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-caracara
47, Nagasaki Ultralight,Planes,Nagasaki,"Armored Vehicle, Countermeasures, Has Liveries, Has Trade Price, Stealth Mode, Unique Radar Icon, Weaponized Vehicle",Elitás Travel,"$665,000 ",Hangar (Personal Aircraft),Interaction Menu - Aircraft,Hangar Aircraft Workshop,Can be sold only if purchased (High-End),"$399,000	
	($781,075 when fully upgraded)",Can be used in Races,48.84 mph (78.60 km/h),Generic ultralight aircraft,1,"250	KG",NA,NA,29-Aug-17,1.41 Smuggler's Run,73.25 mph (117.88 km/h),01:39.2,"No, pilot dies on 1st rocket impact",3,1,2,1,1,"Speed
71.50","Acceleration
45.50","Braking
36.00","Handling
58.00","Overall
52.75",https://www.gtabase.com//grand-theft-auto-v/vehicles/nagasaki-ultralight
48, Enus Deity,Sedans,Enus,"Armored Vehicle, Bulletproof - Front, Bulletproof - Side, Bulletproof - Rear, Countermeasures, Has Liveries, Has Trade Price, Imani Tech, Proximity Mines, Remote Control Unit, Unique Radar Icon, Weaponized Vehicle",Legendary Motorsport,"$1,845,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,107,000	
	($1,799,723 when fully upgraded)",Can be used in Races,93.21 mph (150.00 km/h),Bentley Flying Spur,4,"2,685	KG",RWD,8,15-Dec-21,1.58 The Contract,117.50 mph (189.10 km/h),01:10.1,Bullet resistant windows; Needs Armor Plating upgrade for maximum resistance to explosive,12,4,10,2,1,"Speed
80.48","Acceleration
73.13","Braking
21.67","Handling
65.15","Overall
60.11",https://www.gtabase.com//grand-theft-auto-v/vehicles/deity
49, Willard Faction Custom Donk,Muscle,Willard,"Custom Vehicle, Has Liveries, Hydraulics, Removable Roof",Benny's Original Motor Works,"$695,000 ",Garage (Personal Vehicle),Mechanic,Benny's Original Motor Works,Can be sold only if purchased (High-End),"$417,000	
	($692,293 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),1982-1987 Buick Regal; Buick Grand National/T-Type/GNX,2,"1,400	KG",RWD,5,15-Mar-16,1.33 Lowriders: Custom Classics,97.50 mph (156.91 km/h),01:16.3,No,1,1,2,1,1,"Speed
75.12","Acceleration
50.00","Braking
26.67","Handling
71.21","Overall
55.75",https://www.gtabase.com//grand-theft-auto-v/vehicles/willard-faction-custom-donk
50, Pegassi Tempesta,Super,Pegassi,NA,Legendary Motorsport,"$1,329,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$797,400	
	($951,375 when fully upgraded)",Can be used in Races,97.56 mph (157.00 km/h),"Lamborghini Huracán/Centenario, propsed 2015 Lotus Esprit",2,"1,422	KG",NA,6,13-Dec-16,1.37 Import/Export,121.25 mph (195.13 km/h),01:00.8,No,1,1,2,1,1,"Speed
84.24","Acceleration
90.00","Braking
33.33","Handling
80.30","Overall
71.97",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-tempesta
51, Pegassi Faggio Mod,Motorcycles,Pegassi,Has Liveries,Southern S.A. Super Autos,"$55,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$33,000	
	($210,770 when fully upgraded)",Can be used in Races,55.92 mph (90.00 km/h),Classic Piaggio Vespa,2,"100	KG",RWD,3,4-Oct-16,1.36 Bikers,74.25 mph (119.49 km/h),01:27.2,No,1,1,2,1,1,"Speed
48.29","Acceleration
28.75","Braking
13.33","Handling
51.52","Overall
35.47",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-faggio-mod
52, Western Sovereign,Motorcycles,Western,Exclusive to Annual Event,Southern S.A. Super Autos,"$90,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$54,000	
	($108,900 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Harley Davidson Road King,1,"250	KG",RWD,4,1-Jul-14,1.15 Independence Day,106.25 mph (170.99 km/h),01:06.4,No,1,1,2,1,1,"Speed
72.43","Acceleration
67.50","Braking
36.67","Handling
57.58","Overall
58.54",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-sovereign
53, Dewbauchee Seven-70,Sports,Dewbauchee,NA,Legendary Motorsport,"$695,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$417,000	
	($560,650 when fully upgraded)",Can be used in Races,98.80 mph (159.00 km/h),"Aston Martin One-77, Ferrari F12berlinetta",2,"1,650	KG",RWD,6,5-Jul-16,1.34 Further Adventures in Finance and Felony,123.50 mph (198.75 km/h),01:04.8,No,1,1,2,1,1,"Speed
85.31","Acceleration
83.75","Braking
33.33","Handling
77.58","Overall
69.99",https://www.gtabase.com//grand-theft-auto-v/vehicles/dewbauchee-seven-70
54, Taxi,Service,Vapid,Has Variants,Bonus Reward,"$650,000 ",Pegasus Vehicle,Pegasus Concierge,Cannot be modified,Cannot be sold,NA,Transform Races Only,88.86 mph (143.00 km/h),Ford Crown Victoria,4,"1,400	KG",RWD,5,17-Sep-13,1.01 Game Launch,102.00 mph (164.15 km/h),01:17.0,No,1,1,2,1,1,"Speed
76.73","Acceleration
50.00","Braking
30.00","Handling
77.27","Overall
58.50",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-taxi
55, Zirconium Journey II,Vans,Zirconium,"Has Liveries, Peds can stand on top",Southern S.A. Super Autos,"$790,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$474,000	
	($610,695 when fully upgraded)",Can be used in Races,62.14 mph (100.00 km/h),1979-1981 Fleetwood Pace Arrow,6,"4,000	KG",NA,4,13-Dec-22,1.64 LS Drug Wars,79.25 mph (127.54 km/h),01:40.2,No,1,1,2,1,1,"Speed
53.65","Acceleration
32.50","Braking
8.33","Handling
42.42","Overall
34.22",https://www.gtabase.com//grand-theft-auto-v/vehicles/journey-ii
56, Overflod Imorgon,Sports,Overflod,"Electric Vehicle, Has Liveries",Legendary Motorsport,"$2,165,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,299,000	
	($1,476,140 when fully upgraded)",Can be used in Races,92.27 mph (148.50 km/h),Roland Gumpert Nathalie,2,"1,600	KG",NA,2,9-Jan-20,1.49 Diamond Casino Heist,107.25 mph (172.60 km/h),01:01.3,No,1,1,2,1,1,"Speed
79.68","Acceleration
100.00","Braking
27.83","Handling
100.00","Overall
76.88",https://www.gtabase.com//grand-theft-auto-v/vehicles/imorgon
57, Principe Deveste Eight,Super,Principe,"Has Liveries, HSW Performance Upgrade",Legendary Motorsport,"$1,795,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,077,000	
	($1,884,025 when fully upgraded)",Can be used in Races,105.63 mph (170.00 km/h),"Devel Sixteen, Mazda Furai",2,"3,000	KG",RWD,6,21-Feb-19,1.46 Arena War,131.75 mph (212.03 km/h),01:00.3,No,1,1,2,1,1,"Speed
91.21","Acceleration
100.00","Braking
33.33","Handling
82.58","Overall
76.78",https://www.gtabase.com//grand-theft-auto-v/vehicles/deveste-eight
58, Bus,Service,Brute,"Bulletproof - Rear, Has Variants, Peds can stand on top",Warstock Cache & Carry,"$500,000 ",Pegasus Vehicle,Pegasus Concierge,Cannot be modified,Cannot be sold,NA,Transform Races Only,62.14 mph (100.00 km/h),NABI 45C-LFW,16,"9,000	KG",NA,4,17-Sep-13,1.01 Game Launch,65.00 mph (104.61 km/h),01:57.4,Bulletproof from the rear (rear has no windows),1,1,2,1,1,"Speed
53.66","Acceleration
30.00","Braking
11.67","Handling
43.94","Overall
34.82",https://www.gtabase.com//grand-theft-auto-v/vehicles/brute-bus
59, Declasse Premier,Sedans,Declasse,NA,Can be stolen / found,"$10,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$6,000	
	($74,190 when fully upgraded)",Can be used in Races,90.10 mph (145.00 km/h),Chevy Aveo,4,"1,600	KG",NA,5,17-Sep-13,1.01 Game Launch,104.75 mph (168.58 km/h),01:15.2,No,1,1,2,1,1,"Speed
77.80","Acceleration
50.00","Braking
20.00","Handling
63.64","Overall
52.86",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-premier
60, Vapid Imperator (Arena),Muscle,Vapid,"Arena Contender, Armored Vehicle, Has Liveries, Has Variants, Has Trade Price, Jump Ability, No Passive Mode, Proximity Mines, Rocket Boost, Unique Radar Icon, Weaponized Vehicle",Arena War,"$2,284,940 ",Garage (Personal Vehicle),Mechanic,Arena Workshop,Can be sold only if purchased (High-End),"$1,370,964	
	($3,034,159 when fully upgraded)",Arena War Races,93.21 mph (150.00 km/h),"1973 Ford Falcon XB GT, Pursuit Special",2,"2,000	KG",RWD,4,11-Dec-18,1.46 Arena War,132.75 mph (213.64 km/h),01:05.2,Window plates available at Arena's workshop,4,1,3,1,1,"Speed
80.48","Acceleration
91.25","Braking
16.67","Handling
68.18","Overall
64.15",https://www.gtabase.com//grand-theft-auto-v/vehicles/imperator-arena
61, Pfister Astron,SUVs,Pfister,"Has Liveries, Has Variants",Legendary Motorsport,"$1,580,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$948,000	
	($1,163,100 when fully upgraded)",Can be used in Races,92.40 mph (148.70 km/h),Porsche Macan,4,"1,970	KG",NA,7,15-Dec-21,1.58 The Contract,119.25 mph (191.91 km/h),01:06.5,No,1,1,2,1,1,"Speed
79.79","Acceleration
81.00","Braking
16.00","Handling
66.21","Overall
60.75",https://www.gtabase.com//grand-theft-auto-v/vehicles/astron
62, HVY Menacer,Off-Road,HVY,"Armored Vehicle, Has Liveries, No Passive Mode, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$1,775,000 ",Garage (Personal Vehicle),Mechanic,MOC / Avenger Workshop,Can be sold only if purchased (High-End),"$1,065,000	
	($1,355,413 when fully upgraded)",Target Assault Races,80.78 mph (130.00 km/h),Boss Hunting Truck,5,"5,600	KG",NA,6,28-Aug-18,1.44 After Hours,94.25 mph (151.68 km/h),01:13.0,No,23,8,19,4,2,"Speed
69.75","Acceleration
50.00","Braking
20.00","Handling
60.61","Overall
50.09",https://www.gtabase.com//grand-theft-auto-v/vehicles/menacer
63, Maibatsu Manchez Scout,Motorcycles,Maibatsu,"Has Liveries, Has Variants",Warstock Cache & Carry,"$225,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$135,000	
	($295,675 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),"Armstrong MT500, Kawasaki KLR 250",1,"160	KG",RWD,5,14-Jan-21,1.52 Cayo Perico Heist,139.75 mph (224.91 km/h),01:07.0,No,1,1,2,1,1,"Speed
69.75","Acceleration
66.25","Braking
26.67","Handling
65.00","Overall
56.92",https://www.gtabase.com//grand-theft-auto-v/vehicles/manchez-scout
64, Gallivanter Baller LE (Armored),SUVs,Gallivanter,"Armored Vehicle, Bulletproof - Front, Bulletproof - Side, Bulletproof - Rear",Legendary Motorsport,"$374,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$224,400	
	($290,500 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Range Rover Evoque/Range Rover Sport/Range Rover Sentinel,4,"2,275	KG",NA,5,15-Dec-15,1.31 Executives and Other Criminals,108.25 mph (174.21 km/h),01:14.0,Bullet resistant windows from all sides,2,2,4,1,1,"Speed
72.43","Acceleration
67.50","Braking
19.33","Handling
60.61","Overall
54.97",https://www.gtabase.com//grand-theft-auto-v/vehicles/gallivanter-baller-le-armored
65, Hijak Khamelion,Sports,Hijak,"Electric Vehicle, Hybrid Vehicle, Mystery Prize",Legendary Motorsport,"$100,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$60,000	
	($180,225 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),"Fisker Karma Sunset, Aston Martin Vanquish, Maserati Granturismo",2,"1,800	KG",RWD,1,1-Oct-13,1.01 Game Launch,102.25 mph (164.56 km/h),01:08.3,No,1,1,2,1,1,"Speed
75.12","Acceleration
37.50","Braking
30.00","Handling
78.79","Overall
55.35",https://www.gtabase.com//grand-theft-auto-v/vehicles/hijak-khamelion
66, Invetero Coquette D10,Sports,Invetero,Has Liveries,Legendary Motorsport,"$1,510,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$906,000	
	($1,092,600 when fully upgraded)",Can be used in Races,99.42 mph (160.00 km/h),Chevrolet Corvette C8,2,"1,600	KG",RWD,8,11-Aug-20,1.51 LS Summer Special,130.00 mph (209.21 km/h),01:04.0,No,1,1,2,1,1,"Speed
85.85","Acceleration
80.00","Braking
20.00","Handling
100.00","Overall
71.46",https://www.gtabase.com//grand-theft-auto-v/vehicles/coquette-d10
67, Imponte Dukes,Muscle,Imponte,"Has Variants, Mystery Prize",Southern S.A. Super Autos,"$62,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$37,200	
	($149,788 when fully upgraded)",Can be used in Races,89.48 mph (144.00 km/h),"68 - '70 Dodge Charger/Challenger, '68/'69 Pontiac LeMans/GTO/Firebird",2,"1,600	KG",RWD,5,18-Nov-14,1.18 PS4 & Xbox One Release,112.50 mph (181.05 km/h),01:09.6,No,1,1,2,1,1,"Speed
77.26","Acceleration
80.00","Braking
26.67","Handling
68.18","Overall
63.03",https://www.gtabase.com//grand-theft-auto-v/vehicles/imponte-dukes
68, JoBuilt Phantom Wedge,Commercial,JoBuilt,"Bulletproof - Rear, Has Trade Price, No Passive Mode, Special Vehicle, Towing Hitch, Unique Radar Icon",Warstock Cache & Carry,"$2,553,600 ",Vehicle Warehouse (Special),Interaction Menu - Special Vehicles,Cannot be modified,Cannot be sold,NA,Transform Races Only,80.78 mph (130.00 km/h),"Peterbilt, Phantom, Wedge Truck from Mythbusters",5,"14,000	KG",RWD,5,13-Dec-16,1.37 Import/Export,98.50 mph (158.52 km/h),01:21.1,Bulletproof from the rear (rear has no windows),1,1,2,1,1,"Speed
69.75","Acceleration
75.00","Braking
28.33","Handling
59.09","Overall
58.04",https://www.gtabase.com//grand-theft-auto-v/vehicles/jobuilt-phantom-wedge
69, Bravado Greenwood,Muscle,Bravado,"Armored Vehicle, Countermeasures, Has Liveries, Has Trade Price, Imani Tech, Proximity Mines, Remote Control Unit",Southern S.A. Super Autos,"$1,465,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$879,000	
	($1,430,690 when fully upgraded)",Can be used in Races,88.86 mph (143.00 km/h),4th Generation Dodge Monaco,4,"1,650	KG",RWD,3,26-Jul-22,1.61 Criminal Enterprises,118.00 mph (189.90 km/h),01:08.6,Not Bullet Resistant; Needs Armor Plating upgrade for maximum resistance to explosive,12,4,10,2,1,"Speed
76.73","Acceleration
70.50","Braking
23.33","Handling
69.70","Overall
60.06",https://www.gtabase.com//grand-theft-auto-v/vehicles/greenwood
70, Cheval Marshall,Off-Road,Cheval,"Has Liveries, Has Variants",Warstock Cache & Carry,"$500,000 ",Pegasus Vehicle,Pegasus Concierge,Cannot be modified,Cannot be sold,NA,Can be used in Races,68.35 mph (110.00 km/h),1975 Dodge Charger MK4 Custom Monster Truck,2,"4,000	KG",NA,3,18-Nov-14,1.18 PS4 & Xbox One Release,80.25 mph (129.15 km/h),01:17.8,No,1,1,2,1,1,"Speed
59.02","Acceleration
100.00","Braking
21.67","Handling
68.18","Overall
62.22",https://www.gtabase.com//grand-theft-auto-v/vehicles/cheval-marshall
71, Canis Kalahari,Off-Road,Canis,"Has Variants, Mystery Prize",Southern S.A. Super Autos,"$40,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$24,000	
	($89,765 when fully upgraded)",Can be used in Races,74.56 mph (120.00 km/h),1968-1987 Citroen Mehari,2,"800	KG",NA,4,19-Nov-13,1.06 Beach Bum,90.75 mph (146.05 km/h),01:19.2,No,1,1,2,1,1,"Speed
64.39","Acceleration
65.00","Braking
33.33","Handling
53.94","Overall
54.16",https://www.gtabase.com//grand-theft-auto-v/vehicles/canis-kalahari
72, Progen PR4 (Formula 1 Car),Open Wheel,Progen,"Has Liveries, KERS Boost",Legendary Motorsport,"$3,515,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$2,109,000	
	($2,340,550 when fully upgraded)",Can be used in Races,100.97 mph (162.50 km/h),1991 McLaren MP4/6,1,"505	KG",RWD,6,20-Feb-20,1.49 Diamond Casino Heist,120.50 mph (193.93 km/h),00:56.4,No,1,1,2,1,1,"Speed
87.19","Acceleration
100.00","Braking
41.67","Handling
100.00","Overall
82.21",https://www.gtabase.com//grand-theft-auto-v/vehicles/progen-pr4-f1
73, Obey I-Wagen,SUVs,Obey,"Electric Vehicle, Has Liveries",Southern S.A. Super Autos,"$1,729,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,032,000	
	($1,142,225 when fully upgraded)",Can be used in Races,79.54 mph (128.00 km/h),Audi e-tron (2018),4,"2,445	KG",NA,1,20-Jan-22,1.58 The Contract,94.00 mph (151.28 km/h),01:09.0,No,1,1,2,1,1,"Speed
68.68","Acceleration
57.88","Braking
25.83","Handling
71.67","Overall
56.01",https://www.gtabase.com//grand-theft-auto-v/vehicles/i-wagen
74, Western Rampant Rocket Tricycle,Motorcycles,Western,Has Liveries,Legendary Motorsport,"$925,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$555,000	
	($696,250 when fully upgraded)",Can be used in Races,88.23 mph (142.00 km/h),Rocket II Trike,1,"1,140	KG",RWD,3,31-Oct-19,1.48 Diamond Casino & Resort,106.00 mph (170.59 km/h),01:06.4,No,1,1,2,1,1,"Speed
76.19","Acceleration
95.50","Braking
33.33","Handling
63.64","Overall
67.16",https://www.gtabase.com//grand-theft-auto-v/vehicles/rampant-rocket-tricycle
75, Bravado Gauntlet Classic,Muscle,Bravado,"Has Liveries, Has Variants, Has Trade Price",Southern S.A. Super Autos,"$615,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$369,000	
	($566,800 when fully upgraded)",Can be used in Races,88.23 mph (142.00 km/h),First generation Dodge Challenger,2,"1,350	KG",RWD,5,8-Aug-19,1.48 Diamond Casino & Resort,109.75 mph (176.63 km/h),01:12.6,No,1,1,2,1,1,"Speed
76.19","Acceleration
70.00","Braking
30.00","Handling
75.76","Overall
62.99",https://www.gtabase.com//grand-theft-auto-v/vehicles/gauntlet-classic
76, Bravado Youga,Vans,Bravado,NA,Can be stolen / found,"$16,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$9,600	
	($101,775 when fully upgraded)",Can be used in Races,74.56 mph (120.00 km/h),Dodge Ram Van (Dodge B-Series),2,"2,500	KG",RWD,5,17-Sep-13,1.01 Game Launch,96.50 mph (155.30 km/h),01:23.0,No,1,1,2,1,1,"Speed
64.39","Acceleration
35.00","Braking
10.00","Handling
54.55","Overall
40.98",https://www.gtabase.com//grand-theft-auto-v/vehicles/bravado-youga
77, Canis Bodhi,Off-Road,Canis,NA,Can be stolen / found,"$25,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$15,000	
	($85,550 when fully upgraded)",Can be used in Races,83.26 mph (134.00 km/h),"Land Rover Series III front, Kaiser M715",4,"2,600	KG",NA,5,17-Sep-13,1.01 Game Launch,98.75 mph (158.92 km/h),01:14.3,No,1,1,2,1,1,"Speed
71.90","Acceleration
53.75","Braking
36.67","Handling
68.18","Overall
57.62",https://www.gtabase.com//grand-theft-auto-v/vehicles/canis-bodhi
78, Declasse Weaponized Tampa,Muscle,Declasse,"Has Liveries, Has Trade Price, No Passive Mode, Proximity Mines, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$2,108,050 ",Garage (Personal Vehicle),Mechanic,MOC / Avenger Workshop,Can be sold only if purchased (High-End),"$1,264,830	
	($1,512,755 when fully upgraded)",Transform Races Only,90.10 mph (145.00 km/h),Roadkill (Twisted Metal),2,"1,400	KG",NA,4,13-Jun-17,1.40 Gunrunning Pack,112.25 mph (180.65 km/h),01:10.5,"No, small window protection available at MOC and Avenger's Workshop",1,1,2,1,1,"Speed
77.80","Acceleration
82.50","Braking
16.67","Handling
68.18","Overall
61.29",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-tampa-weaponized
79, Grotti Itali GTO,Sports,Grotti,Has Liveries,Legendary Motorsport,"$1,965,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,179,000	
	($1,375,460 when fully upgraded)",Can be used in Races,100.17 mph (161.20 km/h),Ferrari 812 Superfast,2,"1,520	KG",NA,6,26-Dec-18,1.46 Arena War,127.75 mph (205.59 km/h),00:59.7,No,1,1,2,1,1,"Speed
86.49","Acceleration
100.00","Braking
36.67","Handling
79.39","Overall
75.64",https://www.gtabase.com//grand-theft-auto-v/vehicles/itali-gto
80, Karin Previon,Coupes,Karin,"Has Liveries, Has Trade Price, JDM Car, Tuners Vehicle",Southern S.A. Super Autos,"$1,490,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$894,000	
	($1,229,145 when fully upgraded)",Can be used in Races,92.86 mph (149.45 km/h),Lexus SC 300 (Z30) / Toyota Soarer (Z30),2,"1,300	KG",RWD,5,9-Sep-21,1.57 Los Santos Tuners,115.50 mph (185.88 km/h),01:05.6,No,1,1,2,1,1,"Speed
80.19","Acceleration
79.63","Braking
28.33","Handling
75.35","Overall
65.87",https://www.gtabase.com//grand-theft-auto-v/vehicles/previon
81, Mammoth Squaddie,SUVs,Mammoth,Has Liveries,Warstock Cache & Carry,"$1,130,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$678,000	
	($888,700 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Hummer H1,4,"2,750	KG",NA,5,4-Feb-21,1.52 Cayo Perico Heist,101.75 mph (163.75 km/h),01:16.7,No,1,1,2,1,1,"Speed
69.75","Acceleration
42.50","Braking
10.00","Handling
60.61","Overall
45.71",https://www.gtabase.com//grand-theft-auto-v/vehicles/squaddie
82, Benefactor Schlagen GT,Sports,Benefactor,Has Liveries,Legendary Motorsport,"$1,300,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$780,000	
	($978,325 when fully upgraded)",Can be used in Races,98.92 mph (159.20 km/h),"Mercedes-AMG GT, BMW Z4",2,"1,550	KG",RWD,7,22-Jan-19,1.46 Arena War,125.50 mph (201.97 km/h),01:03.5,No,1,1,2,1,1,"Speed
85.42","Acceleration
92.50","Braking
26.67","Handling
100.00","Overall
76.15",https://www.gtabase.com//grand-theft-auto-v/vehicles/schlagen-gt
83, Ocelot Locust,Sports,Ocelot,Has Liveries,Legendary Motorsport,"$1,625,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$975,000	
	($1,157,500 when fully upgraded)",Can be used in Races,96.13 mph (154.70 km/h),2015 Lotus 3-Eleven,2,"920	KG",RWD,6,29-Aug-19,1.48 Diamond Casino & Resort,119.75 mph (192.72 km/h),01:04.9,No,1,1,2,1,1,"Speed
83.00","Acceleration
83.50","Braking
33.33","Handling
100.00","Overall
74.96",https://www.gtabase.com//grand-theft-auto-v/vehicles/locust
